worker_id,name,city,state,zipcode,ssn,age,email,phone_number,salary,birth_date,iq,scs,hire_month,hire_year,current_latitude,current_longitude,license_plate,productivity
68Ip281,Joshua Johnson,Atomic City,ID,41185,193-42-0647,38,jjohnson@byui.edu,398.608.1374x3952,115000,1983-9-23,113,941,10,2017,-40.630868,-105.655209,1CD 928,73
1Fk48VH,Catherine Kent,Culdesac,ID,38924,048-33-4357,58,ckent@byui.edu,(502)485-3779x934,104000,1964-2-1,111,795,1,2010,-10.624632,-3.921271,40-AC84,66
8zGXfXD,Christopher Lopez,Ammon,ID,83093,337-11-1984,59,clopez@byui.edu,439-219-3616x35722,95000,1963-2-9,121,855,7,2012,-33.412715,113.610722,LDR 775,69
MR3j9s3,Megan Taylor,Atomic City,ID,39448,893-70-3849,51,mtaylor@byui.edu,023.455.0938x702,104000,1970-10-18,121,797,3,2018,-31.3333175,75.55422,401 NHU,93
29V4CF3,Jeffrey Anderson,Hayden,ID,4404,037-23-3902,68,janderson@byui.edu,(842)532-8644,115000,1953-8-5,119,925,3,1991,-24.7346445,100.539921,SDR7609,78
s7tZx8r,Krystal Taylor,Caldwell,ID,61426,191-15-7816,53,ktaylor@byui.edu,331-584-2040,94000,1969-2-18,126,871,2,2003,-54.116294,-9.854441,578 QD3,71
vvSFm3L,Paul Burgess,Firth,ID,27448,705-80-7923,58,pburgess@byui.edu,982.782.7227x9209,97000,1964-3-20,97,882,4,1997,4.707226,129.553988,0-2077S,55
Y69PwW6,Travis Conner,Hamer,ID,4637,006-06-3748,49,tconner@byui.edu,795.232.9140,71000,1973-6-24,117,786,7,2019,54.382549,-27.863434,OJB 498,58
VAuq292,Isaac Cardenas,Chubbuck,ID,56566,318-81-4301,58,icardenas@byui.edu,+1-415-924-3492,123000,1963-11-21,108,895,6,2014,-6.303784,37.970669,JNO-422,80
6bLG48g,Adam Evans,Wallace,ID,97109,197-69-1953,45,aevans@byui.edu,674-720-3073x2395,75000,1976-10-16,95,942,5,2008,88.141522,-126.218627,YVL-359,89
K4Nzys5,Anthony Griffin,Dalton Gardens,ID,79158,074-74-8626,38,agriffin@byui.edu,001-565-836-4664,84000,1984-1-7,122,761,4,2022,-69.701501,-29.43943,ADB M91,60
9G0fg1o,Evelyn Johnson,Ucon,ID,95557,627-11-4230,43,ejohnson@byui.edu,782.652.4995,81000,1979-4-12,118,768,7,2021,-64.580335,-3.468236,KCD 096,90
ip40EHS,Hannah Mann,American Falls,ID,3301,149-41-2953,37,hmann@byui.edu,257-400-9916,119000,1984-8-12,111,823,1,2022,45.1736275,70.516616,3359 NR,84
C2yf1c2,Vanessa Shaw,American Falls,ID,32188,697-55-9134,67,vshaw@byui.edu,150.685.3366,97000,1955-4-20,127,928,6,1984,66.2869765,166.031757,AE9 N9U,71
4565f2s,Thomas Larson,Minidoka,ID,54444,625-52-3804,60,tlarson@byui.edu,001-837-533-3824,116000,1962-2-4,112,784,3,2001,-86.8211385,113.045823,5XE 029,96
GDeBY28,John Cole,Harrison,ID,58371,473-51-4529,40,jcole@byui.edu,770-539-8949x78448,100000,1981-11-12,128,855,9,2022,-26.420105,59.216244,087-JZG,54
